,budget,popularity,runtime,revenue,belongs_to_collection_missing,genres_action,genres_adventure,genres_comedy,genres_crime,genres_drama,genres_family,genres_horror,genres_romance,genres_science_fiction,genres_thriller,IsProductionFromUSA,IsEnglishLanguage,Keywords_aftercreditsstinger,Keywords_based_on_novel,Keywords_biography,Keywords_duringcreditsstinger,Keywords_independent_film,Keywords_murder,Keywords_revenge,Keywords_sport,Keywords_violence,Keywords_woman_director,homepageavaialble,Year,realesemonthseason
0,16.454567959008102,2.0249052312377693,93.0,16.326300330915824,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2015,0
1,17.50439003707821,2.2245040849290247,113.0,18.370959224205944,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2004,0
2,15.009433329466965,4.178991883143017,105.0,16.38751199098573,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2014,0
3,13.997832948091215,1.429099028844006,122.0,16.588099342704055,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,0
4,0.0,0.7645697645700024,118.0,15.18261470922214,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,0
5,15.894952224644102,0.5557649544127119,83.0,14.997740387737252,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1987,0
6,16.454567959008102,2.114624908978744,92.0,18.263396044879872,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,0
7,0.0,1.0814810500338026,84.0,14.765820807889137,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2004,0
8,0.0,2.0671694213081877,100.0,17.351454194007484,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1996,0
9,15.607270193858982,1.7355481361772445,91.0,16.74671748362726,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2003,0
10,13.815511557963774,2.758367199067464,119.0,18.57969228775781,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1976,0
11,0.0,2.446144164965413,98.0,16.935318648253194,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1987,1
12,16.52356082573315,3.0785363037265348,122.0,19.691274093623488,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1999,0
13,17.78580249038432,2.6612543569539397,118.0,18.371764800373036,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2005,0
14,18.440483381052466,3.0757471193009263,145.0,19.69708469770741,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2002,1
15,13.122365377402328,0.7023432666459891,97.0,5.293304824724492,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,0
16,17.073607134447293,1.9929200901116906,85.0,17.87408637811931,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2005,0
17,0.0,1.6454916930692542,111.0,14.025978107156048,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2013,1
18,15.894952224644102,2.014404096100162,96.0,14.374816583642607,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011,0
19,17.281246492014,2.5144378626521977,87.0,18.260132107446047,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2005,0
20,18.197537205138154,2.564993894931267,130.0,18.729336992463118,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998,0
21,15.201805169084134,2.196367543520966,95.0,17.418016649695787,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1982,0
22,0.0,2.1771110950629704,116.0,11.516379492941743,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,1
23,0.0,0.8430027926322896,92.0,9.741674256373525,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2011,0
24,0.0,2.132339566548412,87.0,15.414437018146035,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2006,0
25,0.0,0.8119816632521071,95.0,15.944150989797505,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1992,0
26,16.118095750958314,1.668788311008098,110.0,16.44272163989704,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1997,0
27,16.213405921671733,2.47164332954096,93.0,15.87564197854684,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,0
28,15.607270193858982,2.0488767873881457,84.0,15.581892046457524,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1986,0
29,17.622173069956816,2.176865395192119,89.0,18.36871106297223,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2002,0
30,16.380459992348886,2.8383132000089475,112.0,19.871078075121222,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,0
31,0.0,1.90148942496382,117.0,17.399029524198163,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2005,0
32,18.31532023940565,2.668092069456066,106.0,18.80551387574951,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,0
